,SELLER,REBOUND TYPE,COSTUMER ID,ORDER NUMBER,DATE ATTENDED,DATE DELIVERED,PRODUCT,UNIT AMOUNT,QUANTITY,Amount per Item/Total Amount,REASON,Charged (Fortnight/Month/Year Number),DAYS TO DELIVER
22,ABEL D,TOTAL,1074,30_1673025454885,2023-06-01,2023-08-01,Mini Pamela Galletas Coco X 180 G,136,5,680,NO REQUEST,1Q/1/23,61.0
23,ABEL D,TOTAL,1074,30_1673025454885,2023-06-01,2023-08-01,TOSTI TOSTADITAS FINITAS CLASICA DISPLAYX 140 G,215,3,645,NO REQUEST,1Q/1/23,61.0
24,ABEL D,TOTAL,1074,30_1673025454885,2023-06-01,2023-08-01,Halconero Vinagre De Alcohol X 930 Cc,99,7,693,NO REQUEST,1Q/1/23,61.0
25,ABEL D,TOTAL,1074,30_1673025454885,2023-06-01,2023-08-01,Lulemuu Barra De Arroz Bañada Con Yogurt De Frutilla X 20 U,1300,2,2600,NO REQUEST,1Q/1/23,61.0
26,ABEL D,PARTIAL,1393,30_1672745611045,2023-04-01,2023-05-01,TOSTI TOSTADITAS FINITAS CLASICA DISPLAYX 140 G,215,16,3440,OUT OF STOCK,1Q/1/23,30.0
27,ABEL D,PARTIAL,2100,30_1672839639582,2023-04-01,2023-05-01,Valena Rejilla Pabilo X 6 U,422,1,422,CLOSED,1Q/1/23,30.0
28,ABEL D,PARTIAL,1416,30_1672758545432,2023-04-01,2023-05-01,SUIZA AUTOBRILLO INCOLORO DOYPACK X400CC,295,8,2360,CLOSED,1Q/1/23,30.0
29,ABEL D,PARTIAL,1416,30_1672758545432,2023-04-01,2023-05-01,SUIZA AUTOBRILLO ROJO DOYPACK X400CC,295,8,2360,OUT OF STOCK,1Q/1/23,30.0
30,ABEL D,PARTIAL,1416,30_1672758545432,2023-04-01,2023-05-01,LA ESPAÑOLA AVENA INSTANTANEA X 300G,114,10,1140,OUT OF STOCK,1Q/1/23,30.0
31,ABEL D,PARTIAL,2050,30_1672839166772,2023-05-01,2023-06-01,Seven Up Packx6 Latax 354 Cc,720,4,2880,Incorrectly assembled order,1Q/1/23,31.0
32,ABEL D,PARTIAL,1632,30_1672498912291,2023-02-01,2023-03-01,Don Fito Bulto 10 Arroz Paqx 500 G,"537,6",1,"537,6",OUT OF STOCK,1Q/1/23,28.0
33,ABEL D,PARTIAL,1632,30_1672498912291,2023-02-01,2023-03-01,La Española Lentejas X 400 G,272,10,2720,Incorrectly assembled order,1Q/1/23,28.0
34,ABEL D,PARTIAL,1632,30_1672498912291,2023-02-01,2023-03-01,Doña Pupa Arveja Tetrax 340 G,74,24,1776,Incorrectly assembled order,1Q/1/23,28.0
35,ABEL D,PARTIAL,1940,30_1672321655443,,,Que Lo Paleo Barra Proteica Castañas X 12 U,1990,1,1990,Incorrectly assembled order,1Q/1/23,
36,ABEL D,PARTIAL,1512,30_1672936766487,2023-06-01,2023-07-01,La Española Garbanzo X 400 G,131,10,1310,Incorrectly assembled order,1Q/1/23,30.0
37,ABEL D,PARTIAL,1511,30_1672933186451,2023-06-01,2023-07-01,Halconero Vinagre De Alcohol X 930 Cc,99,12,1188,NO REQUEST,1Q/1/23,30.0
38,ABEL D,PARTIAL,59,30_1673110111572,2023-09-01,2023-11-01,Lulemuu Barra De Arroz Bañada Con Yogurt De Frutilla X 20 U,1300,1,1300,WITHOUT MONEY,1Q/1/23,61.0
39,ABEL D,PARTIAL,2076,30_1673103107275,2023-09-01,,Seven Up Packx6 Latax 354 Cc,720,1,720,It is not the agreed-upon price,1Q/1/23,
40,ABEL D,PARTIAL,1942,30_1673364725460,2023-11-01,,Soda Marinaro Sifon Desc. X 2litros X 4u,585,2,1170,WITHOUT MONEY,1Q/1/23,
41,ABEL D,PARTIAL,2117,30_1673282671889,2023-11-01,,Doña Pupa Arveja Tetrax 340 G,83,24,1992,WITHOUT MONEY,1Q/1/23,
42,ABEL D,PARTIAL,1597,30_1673280208238,2023-11-01,,Doña Pupa Choclo Cremoso Amarillo X 340 G,105,12,1260,WITHOUT MONEY,1Q/1/23,
43,ABEL D,PARTIAL,2098,30_1673297260663,2023-11-01,,LA ESPAÑOLA BURGOL X 500 G,127,10,1270,WITHOUT MONEY,1Q/1/23,
44,ABEL D,PARTIAL,1399,30_1673402122275,2023-11-01,,Seven Up Packx6 Latax 354 Cc,720,4,2880,WITHOUT MONEY,1Q/1/23,
45,ABEL D,TOTAL,1947,30_1672848109553,2023-05-01,2023-08-01,Lulemuu Barra De Arroz Bañada Con Yogurt De Frutilla X 20 U,1300,10,13000,WITHOUT MONEY,1Q/1/23,92.0
46,ABEL D,TOTAL,1502,30_1673540238543,,,Trym's Nachos Cheddar Sin Tacc X 75 G,165,20,3300,CLOSED,1Q/1/23,
47,ABEL D,TOTAL,1502,30_1673540238543,,,Tosti Talitas Pizza X 100 G,137,5,685,CLOSED,1Q/1/23,
48,ABEL D,TOTAL,1502,30_1673540238543,,,Que Lo Paleo Barra Proteica Choco Negro X 12 U,1400,1,1400,CLOSED,1Q/1/23,
49,ABEL D,TOTAL,1502,30_1673540238543,,,Trym's Batatas Clasicas Sin Tacc X 65 G,165,10,1650,CLOSED,1Q/1/23,
50,ABEL D,TOTAL,1502,30_1673540238543,,,LA ESPAÑOLA BURGOL  X 500G,127,20,2540,CLOSED,1Q/1/23,
51,ABEL D,TOTAL,1502,30_1673540238543,,,Mini Pamela Galletas Chips Choco X 180 G,132,5,660,CLOSED,1Q/1/23,
52,ABEL D,TOTAL,1502,30_1673540238543,,,Suiza Limpiador Original X 900 Ml,"127,3",2,"254,6",CLOSED,1Q/1/23,
53,ABEL D,TOTAL,1502,30_1673540238543,,,Suiza Limpiador Pinos Patagonicos X 900 Ml,"127,3",2,"254,6",CLOSED,1Q/1/23,
54,ABEL D,PARTIAL,2150,30_1673455798287,2023-12-01,,Trym's Nachos Cheddar Sin Tacc X 75 G,165,15,2475,CLOSED,1Q/1/23,
55,ABEL D,PARTIAL,2185,30_1673292366983,2023-11-01,,LA ESPAÑOLA BURGOL  X 500G,127,5,635,CLOSED,1Q/1/23,
56,ABEL D,PARTIAL,933,30_1673539925990,,,Que Lo Paleo Barra Proteica Castañas X 12 U,1990,1,1990,WITHOUT MONEY,1Q/1/23,
57,ABEL D,PARTIAL,2082,30_1673447019171,2023-12-01,,LA ESPAÑOLA BURGOL  X 500G,127,2,254,NO REQUEST,1Q/1/23,
58,ABEL D,PARTIAL,1968,30_1673452036179,2023-12-01,,Que Lo Paleo Barra Proteica Choco Blanco X 12 U,1400,1,1400,NO REQUEST,1Q/1/23,
59,ABEL D,TOTAL,1632,30_1673626240779,,,Suiza Limpiador Lavanda De Los Alpes X 900 Ml,"127,3",5,"636,5",WITHOUT MONEY,2Q/1/23,
60,ABEL D,TOTAL,1632,30_1673626240779,,,Suiza Limpiador Original X 900 Ml,"127,3",5,"636,5",WITHOUT MONEY,2Q/1/23,
61,ABEL D,TOTAL,1632,30_1673626240779,,,Arbanit Cubanitos Avellanas Displayx 12 Unidades,1120,2,2240,WITHOUT MONEY,2Q/1/23,
62,ABEL D,TOTAL,1632,30_1673626240779,,,Arbanit Cubanitos Dulce De Leche Displayx 12 Unidades,1120,2,2240,WITHOUT MONEY,2Q/1/23,
63,ABEL D,TOTAL,1632,30_1673626240779,,,Mini Pamela Galletas Chips Choco X 180 G,132,15,1980,WITHOUT MONEY,2Q/1/23,
64,ABEL D,TOTAL,1916,30_1673889061227,,,QUILMES CERVEZA CLASICA LATA 473 ML PACK X6,1158,3,3474,WITHOUT MONEY,2Q/1/23,
65,ABEL D,TOTAL,1916,30_1673889061227,,,DULCYPAS GALLETITAS PEPAS PAQX 180G,99,20,1980,OUT OF STOCK,2Q/1/23,
66,ABEL D,TOTAL,1916,30_1673889061227,,,Trym's Nachos Cheddar Sin Tacc X 75 G,165,17,2805,WITHOUT MONEY,2Q/1/23,
67,ABEL D,TOTAL,1916,30_1673889061227,,,Tosti Talitas Pizza X 100 G,137,12,1644,NO REQUEST,2Q/1/23,
68,ABEL D,TOTAL,1936,30_1674145959058,,,Valena Promo Trapo De Piso Gris X 20 U,4790,3,14370,NO REQUEST,2Q/1/23,
69,ABEL D,TOTAL,1936,30_1674145959058,,,Tosti Talitas Pizza X 100 G,137,5,685,NO REQUEST,2Q/1/23,
70,ABEL D,TOTAL,1936,30_1674145959058,,,Mini Pamela Galletas Chips Choco X 180 G,132,1,132,NO REQUEST,2Q/1/23,
71,ABEL D,TOTAL,2116,30_1673975681329,,,DULCYPAS GALLETITAS PEPAS PAQX 180G,99,10,990,WITHOUT MONEY,2Q/1/23,
72,ABEL D,TOTAL,2116,30_1673975681329,,,DULCYPAS GALLETITAS PEPAS PAQX 400G,189,10,1890,WITHOUT MONEY,2Q/1/23,
73,ABEL D,TOTAL,2116,30_1673975681329,,,DULCYPAS GALLETITAS PEPAS PAQX 180G,99,8,792,WITHOUT MONEY,2Q/1/23,
74,ABEL D,TOTAL,2116,30_1673975681329,,,Arbanit Cubanitos Avellanas Displayx 12 Unidades,1120,1,1120,WITHOUT MONEY,2Q/1/23,
75,ABEL D,TOTAL,2116,30_1673975681329,,,Arbanit Cubanitos Dulce De Leche Displayx 12 Unidades,1120,1,1120,WITHOUT MONEY,2Q/1/23,
76,ABEL D,TOTAL,2116,30_1673975681329,,,Doña Pupa Choclo Entero Amarillo Tetrax 340 G,213,5,1065,WITHOUT MONEY,2Q/1/23,
77,ABEL D,TOTAL,2116,30_1673975681329,,,Doña Pupa Lenteja Tetra Recax 340 G,160,5,800,WITHOUT MONEY,2Q/1/23,
78,ABEL D,PARTIAL,1239,30_1674829343826,,,Mini Pamela Galletas Chips Choco X 180 G,132,2,264,NO REQUEST,2Q/1/23,
79,ABEL D,TOTAL,1975,30_1674826943027,,,Pepsi Black Packx6 Latax 354 Cc,720,2,1440,CLOSED,2Q/1/23,
80,ABEL D,TOTAL,1975,30_1674826943027,,,Tosti Tostadas Gruesas Clasica X 200 G,179,3,537,CLOSED,2Q/1/23,
81,ABEL D,TOTAL,1975,30_1674826943027,,,QUILMES CERVEZA CLASICA LATA 473 ML PACK X6,1158,5,5790,CLOSED,2Q/1/23,
82,ABEL D,TOTAL,1975,30_1674826943027,,,DULCYPAS GALLETITAS PEPAS PAQX 400G,189,6,1134,CLOSED,2Q/1/23,
83,ABEL D,PARTIAL,1414,30_1674683539994,,,Trym's Nachos Cheddar Sin Tacc X 75 G,165,5,825,OUT OF STOCK,2Q/1/23,
84,ABEL D,PARTIAL,2103,30_1674665435187,,,Que Lo Paleo Barra Proteica Castañas X 12 U,1990,1,1990,WITHOUT MONEY,2Q/1/23,
85,ABEL D,PARTIAL,1431,30_1674563858489,,,Trym's Nachos Cheddar Sin Tacc X 75 G,165,4,660,NO REQUEST,2Q/1/23,
86,ABEL D,PARTIAL,239,30_1674830829936,,,Tosti Talitas Pizza X 100 G,137,1,137,CLOSED,2Q/1/23,
87,ABEL D,PARTIAL,2126,30_1674831354461,,,Mini Pamela Galletas Chips Choco X 180 G,132,2,264,CLOSED,2Q/1/23,
88,ABEL D,PARTIAL,2021,30_1673714985419,,,Arbanit Cubanitos Avellanas Displayx 12 Unidades,1120,2,2240,WITHOUT MONEY,2Q/1/23,
89,ABEL D,PARTIAL,2158,30_1673276067675,2023-11-01,,Arbanit Cubanitos Dulce De Leche Displayx 12 Unidades,1120,10,11200,WITHOUT MONEY,2Q/1/23,
90,ABEL D,PARTIAL,1632,30_1674855383481,,,Que Lo Paleo Barra Proteica Castañas X 12 U,1990,1,1990,WITHOUT MONEY,2Q/1/23,
91,ABEL D,PARTIAL,1632,30_1674855383481,,,Arbanit Cubanitos Avellanas Displayx 12 Unidades,1120,1,1120,WITHOUT MONEY,2Q/1/23,
92,ABEL D,PARTIAL,1632,30_1674855383481,,,Arbanit Cubanitos Dulce De Leche Displayx 12 Unidades,1120,1,1120,WITHOUT MONEY,2Q/1/23,
93,ABEL D,PARTIAL,1632,30_1674855383481,,,Arbanit Cubanitos Mani Displayx 12 Unidades,1120,1,1120,WITHOUT MONEY,2Q/1/23,
94,ABEL D,PARTIAL,1632,30_1674854783293,,,Suiza Cera Bril Incoloro X 900 Cc,470,12,5640,WITHOUT MONEY,2Q/1/23,
95,ABEL D,PARTIAL,1762,30_1674823734656,,,Que Lo Paleo Barra Proteica Choco Negro X 12 U,1400,1,1400,Sales representative's mistake in loading the order,2Q/1/23,
96,ABEL D,PARTIAL,1187,30_1674832961449,,,Que Lo Paleo Barra Proteica Choco Negro X 12 U,1400,1,1400,WITHOUT MONEY,2Q/1/23,
97,ABEL D,PARTIAL,1113,30_1674748582851,,,Trym's Batatas Clasicas Sin Tacc X 65 G,165,5,825,WITHOUT MONEY,2Q/1/23,
98,ABEL D,PARTIAL,2130,30_1674572245952,,,Suiza Limpiador Lavanda De Los Alpes X 900 Ml,"127,3",3,"381,9",OUT OF STOCK,2Q/1/23,
99,ABEL D,PARTIAL,2011,30_1674831897370,,,Suiza Limpiador Lavanda De Los Alpes X 900 Ml,"127,3",5,"636,5",OUT OF STOCK,2Q/1/23,
100,ABEL D,PARTIAL,964,30_1674488283234,,,Que Lo Paleo Barra Proteica Choco Blanco X 12 U,1400,1,1400,WITHOUT MONEY,2Q/1/23,
101,ABEL D,PARTIAL,964,30_1674488283234,,,Trym's Nachos Cheddar Sin Tacc X 75 G,165,2,330,WITHOUT MONEY,2Q/1/23,
102,ABEL D,PARTIAL,964,30_1674488283234,,,Trym's Papas Fritas Acanaladas Kettle Jalapeño Ahu Sin Tacc X 60 G,159,2,318,WITHOUT MONEY,2Q/1/23,
103,ABEL D,PARTIAL,1398,30_1674588899399,,,Suiza Limpiador Lavanda De Los Alpes X 900 Ml,"127,3",15,"1909,5",OUT OF STOCK,2Q/1/23,
104,ABEL D,PARTIAL,1398,30_1674588899399,,,Suiza Limpiador Original X 900 Ml,"127,3",15,"1909,5",OUT OF STOCK,2Q/1/23,
105,ABEL D,PARTIAL,1398,30_1674588899399,,,Suiza Limpiador Pinos Patagonicos X 900 Ml,"127,3",15,"1909,5",OUT OF STOCK,2Q/1/23,
106,ABEL D,PARTIAL,1632,30_1674593784884,,,Que Lo Paleo Barra Proteica Castañas X 12 U,525,1,525,WITHOUT MONEY,2Q/1/23,
107,ABEL D,PARTIAL,1996,30_1674757465560,,,Que Lo Paleo Barra Proteica Castañas X 12 U,1990,2,3980,OUT OF STOCK,2Q/1/23,
108,ABEL D,TOTAL,2158,30_1675779742404,2023-08-02,2023-10-02,Maxisec Papel Higienico 60 Metros X 6 U,575,1,575,CLOSED,1Q/2/23,61.0
109,ABEL D,TOTAL,2158,30_1675779742404,2023-08-02,2023-10-02,DEC MIX FRUTOS SECOS ENERGIA X 250G,299,7,2093,CLOSED,1Q/2/23,61.0
110,ABEL D,TOTAL,2158,30_1675779742404,2023-08-02,2023-10-02,Dec Mix Frutos Secos Salado X 250 G,250,3,750,CLOSED,1Q/2/23,61.0
111,ABEL D,TOTAL,2158,30_1675779742404,2023-08-02,2023-10-02,Mini Pamela Galletas Coco X 180 G,136,12,1632,CLOSED,1Q/2/23,61.0
112,ABEL D,TOTAL,2158,30_1675779742404,2023-08-02,2023-10-02,Que Lo Paleo Barra Proteica Castañas X 12 U,1990,1,1990,CLOSED,1Q/2/23,61.0
113,ABEL D,TOTAL,795,30_1676049635845,2023-11-02,,Halconero Vinagre De Alcohol X 930 Cc,116,11,1276,NO REQUEST,1Q/2/23,
114,ABEL D,TOTAL,795,30_1676049635845,2023-11-02,,La Española Polenta Instantanea X 500 G,65,15,975,CLOSED,2Q/1/23,
115,ABEL D,TOTAL,795,30_1676049635845,2023-11-02,,La Española Arroz L F X 500 G,83,20,1660,CLOSED,2Q/1/23,
116,ABEL D,TOTAL,2241,30_1676119071676,2023-11-02,,La Española Avena Arrollada X 400 G,160,2,320,WITHOUT MONEY,1Q/2/23,
117,ABEL D,TOTAL,2241,30_1676119071676,2023-11-02,,Doña Pupa Pure De Tomate X 520 G,1000,2,2000,WITHOUT MONEY,1Q/2/23,
118,ABEL D,TOTAL,1712,30_1675269270414,2023-01-02,2023-03-02,Dec Mix Frutos Secos Salado X 250 G,250,3,750,CLOSED,1Q/2/23,59.0
119,ABEL D,TOTAL,1712,30_1675269270414,2023-01-02,2023-03-02,Mini Pamela Galletas Coco X 180 G,136,5,680,CLOSED,1Q/2/23,59.0
120,ABEL D,TOTAL,1712,30_1675269270414,2023-01-02,2023-03-02,La Española Avena Arrollada X 400 G,160,10,1600,CLOSED,1Q/2/23,59.0
121,ABEL D,TOTAL,2128,30_1674922740970,,2023-01-02,Mini Pamela Galletas Coco X 180 G,136,5,680,WITHOUT MONEY,1Q/2/23,
122,ABEL D,TOTAL,2128,30_1674922740970,,2023-01-02,La Española Polenta Instantanea X 500 G,65,3,195,WITHOUT MONEY,1Q/2/23,
123,ABEL D,TOTAL,2114,30_1676131593544,,,Trym's Papas Fritas Acanaladas Kettle Barbacoa Tex Sin Tacc X 60 G,165,20,3300,NO REQUEST,1Q/2/23,
124,ABEL D,TOTAL,1632,30_1676293579002,,,FUN CHUPETIN CRAZY POP FRUTILLA TIRA X 20 U,1640,1,1640,CLOSED,1Q/2/23,
125,ABEL D,TOTAL,1632,30_1676293579002,,,Doña Pupa Choclo Entero Amarillo Tetrax 340 G,213,10,2130,CLOSED,1Q/2/23,
126,ABEL D,TOTAL,1632,30_1676293579002,,,Doña Pupa Lenteja Tetra Recax 340 G,160,5,800,CLOSED,1Q/2/23,
127,ABEL D,PARTIAL,1187,30_1675432138125,2023-03-02,2023-05-02,Que Lo Paleo Barra Proteica Castañas X 12 U,1990,1,1990,WITHOUT REASON,1Q/2/23,61.0
128,ABEL D,PARTIAL,1154,30_1675962442898,2023-10-02,2023-12-02,Halconero Vinagre De Alcohol X 930 Cc,116,12,1392,WITHOUT REASON,1Q/2/23,61.0
129,ABEL D,PARTIAL,2003,30_1675527621642,2023-06-02,2023-08-02,La Española Polenta Instantanea X 500 G,65,1,65,WITHOUT REASON,1Q/2/23,61.0
130,ABEL D,PARTIAL,2003,30_1675527621642,2023-06-02,2023-08-02,La Española Arroz L F X 500 G,83,13,1079,WITHOUT REASON,1Q/2/23,61.0
131,ABEL D,PARTIAL,2098,30_1675191991570,2023-01-02,2023-03-02,La Española Poroto Alubia X 500 G,182,10,1820,WITHOUT REASON,1Q/2/23,59.0
132,ABEL D,PARTIAL,1408,30_1675783466210,2023-08-02,2023-10-02,Dec Mix Frutos Secos Salado X 250 G,250,2,500,WITHOUT REASON,1Q/2/23,61.0
133,ABEL D,PARTIAL,1408,30_1675783466210,2023-08-02,2023-10-02,Mini Pamela Galletas Coco X 180 G,136,10,1360,WITHOUT REASON,1Q/2/23,61.0
134,ABEL D,PARTIAL,1781,30_1675867064930,2023-09-02,2023-11-02,Trym's Papas Fritas Acanaladas Kettle Barbacoa Tex Sin Tacc X 60 G,165,3,495,WITHOUT REASON,1Q/2/23,61.0
135,ABEL D,PARTIAL,1781,30_1675867064930,2023-09-02,2023-11-02,Trym's Papas Fritas Clasicas Sin Tacc X 60 G,165,3,495,CLOSED,1Q/2/23,61.0
136,ABEL D,PARTIAL,2011,30_1676043757402,2023-11-02,,Valena Promo Trapo De Piso Gris X 20 U,1645,2,3290,CLOSED,1Q/2/23,
137,ABEL D,PARTIAL,2017,30_1676047997670,2023-11-02,,Vino Malbec Novecento Raices X 750ml,585,6,3510,WITHOUT REASON,1Q/2/23,
138,ABEL D,PARTIAL,1172,30_1675861918308,2023-08-02,2023-10-02,La Española Avena Arrollada X 400 G,160,1,160,WITHOUT REASON,1Q/2/23,61.0
139,ABEL D,PARTIAL,1172,30_1675861918308,2023-08-02,2023-10-02,Doña Pupa Pure De Tomate X 520 G,1000,1,1000,WITHOUT REASON,1Q/2/23,61.0
140,ABEL D,PARTIAL,1172,30_1675861918308,2023-08-02,2023-10-02,Doña Pupa Choclo Entero Amarillo Tetrax 340 G,213,6,1278,WITHOUT REASON,1Q/2/23,61.0
141,ABEL D,PARTIAL,1172,30_1675861918308,2023-08-02,2023-10-02,La Española Lentejas X 400 G,160,6,960,WITHOUT REASON,1Q/2/23,61.0
142,ABEL D,PARTIAL,1393,30_1675770170976,2023-08-02,2023-10-02,Trym's Papas Fritas Clasicas Sin Tacc X 60 G,165,6,990,CLOSED,1Q/2/23,61.0
143,ABEL D,PARTIAL,1393,30_1675770170976,2023-08-02,2023-10-02,Trym's Papas Fritas Acanaladas Kettle Barbacoa Tex Sin Tacc X 60 G,165,10,1650,CLOSED,1Q/2/23,61.0
144,ABEL D,PARTIAL,2117,30_1675778847258,2023-08-02,2023-10-02,Doña Pupa Choclo Entero Amarillo Tetrax 340 G,213,19,4047,CLOSED,1Q/2/23,61.0
145,ABEL D,PARTIAL,1384,30_1675866787531,2023-08-02,2023-10-02,Doña Pupa Lenteja Tetra Recax 340 G,160,7,1120,CLOSED,1Q/2/23,61.0
146,ABEL D,PARTIAL,1187,30_1676004121129,2023-10-02,2023-12-02,Que Lo Paleo Barra Proteica Castañas X 12 U,1990,1,1990,CLOSED,1Q/2/23,61.0
147,ABEL D,PARTIAL,1636,30_1675823632974,2023-08-02,2023-10-02,Don Fito Bulto 10 Arroz Paqx 500 G,18600,1,18600,CLOSED,1Q/2/23,61.0
148,ABEL D,PARTIAL,1951,30_1675438233760,2023-04-02,2023-06-02,Trym's Papas Fritas Acanaladas Kettle Barbacoa Tex Sin Tacc X 60 G,165,3,495,CLOSED,1Q/2/23,61.0
149,ABEL D,PARTIAL,1951,30_1675438233760,2023-04-02,2023-06-02,Trym's Papas Fritas Acanaladas Kettle Chori Con Chimi Sin Tacc X 60 G,159,3,477,CLOSED,1Q/2/23,61.0
150,ABEL D,PARTIAL,1996,30_1675268210097,2023-02-02,2023-04-02,Que Lo Paleo Barra Proteica Castañas X 12 U,1990,1,1990,WITHOUT MONEY,1Q/2/23,59.0
151,ABEL D,PARTIAL,2050,30_1675337534978,2023-02-02,2023-04-02,Pepsi Black Packx6 Latax 354 Cc,720,4,2880,WITHOUT MONEY,1Q/2/23,59.0
152,ABEL D,PARTIAL,1956,30_1675519389191,2023-04-02,2023-06-02,Tosti Tostadas Gruesas Clasica X 200 G,179,3,537,WITHOUT MONEY,1Q/2/23,61.0
153,ABEL D,PARTIAL,2339,30_1676375955792,,,FUN CHUPETIN CRAZY POP FRUTILLA TIRA X 20 U,1640,1,1640,OUT OF STOCK,2Q/2/23,
154,ABEL D,PARTIAL,2150,30_1676468643961,,,Lulemuu Tostadas De Arroz Clasica X 120 G,110,1,110,OUT OF STOCK,2Q/2/23,
155,ABEL D,PARTIAL,2136,30_1676388479503,,,Soda Marinaro Sifon Desc. X 2litros X 4u,585,2,1170,NO REQUEST,2Q/2/23,
156,ABEL D,PARTIAL,1797,30_1676298986469,,,Doña Pupa Choclo Cremoso Amarillo X 340 G,112,3,336,NO REQUEST,2Q/2/23,
157,ABEL D,PARTIAL,2336,30_1676375798251,,,FUN CHUPETIN CRAZY POP FRUTILLA TIRA X 20 U,1640,1,1640,OUT OF STOCK,2Q/2/23,
158,ABEL D,PARTIAL,1450,30_1676560606714,,,Que Lo Paleo Barra Proteica Choco Blanco X 12 U,1440,1,1440,CLOSED,2Q/2/23,
159,ABEL D,PARTIAL,2103,30_1676993077517,,,LA MINUCHA FIDEOS SPAGHETTI X 500GR,99,3,297,CLOSED,2Q/2/23,
160,ABEL D,PARTIAL,2117,30_1676988032439,,,LA MINUCHA FIDEOS SPAGHETTI X 500GR,99,12,1188,CLOSED,2Q/2/23,
161,ABEL D,PARTIAL,1597,30_1676995077667,,,Nuestros Sabores Chips De Papa X 80 G,162,1,162,WITHOUT MONEY,2Q/2/23,
